ФИО,Пол,Год поступления,Форма обучения,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,Средний балл аттестата,Общий балл при поступлении,Специальность,Адрес регистрации,Телефон,Поступил
Новиков Александр Иванович,М,2022,заочная,,75.8,58.0,,51.4,,,86.7,72.4,Медицинская биохимия,"Екатеринбург, ул. Новая, д. 17, кв. 137",+375637159741,True
Сидоров Андрей Иванович,М,2022,заочная,58.1,,,57.7,82.4,,,81.0,70.1,Химия,"Казань, ул. Строителей, д. 18, кв. 117",+375058025662,True
Медведева Екатерина Владимировна,Ж,2022,очная,65.4,83.2,,57.4,,,,83.3,72.4,Экономика,"Самара, ул. Центральная, д. 151, кв. 52",+375874302716,True
Медведева Ольга Никитична,Ж,2022,заочная,,,,65.8,,69.6,77.7,80.7,73.8,Экономика,"Казань, ул. Новая, д. 157, кв. 45",+375632967629,True
Кузнецов Александр Алексеевич,М,2022,очная,,,71.5,,70.9,63.1,,72.7,71.6,Биология,"Воронеж, ул. Строителей, д. 32, кв. 95",+375118567243,True
Иванов Михаил Петрович,М,2022,очная,,,,52.9,,47.3,88.6,71.1,63.9,Медицинская биохимия,"Казань, ул. Советская, д. 182, кв. 35",+375577711837,False
Сидоров Илья Алексеевич,М,2022,заочная,60.2,62.1,,,66.5,,,82.6,70.5,Прикладная математика,"Москва, ул. Центральная, д. 40, кв. 113",+375523083708,True
Егорова Мария Михайловна,Ж,2022,очная,75.8,,,,61.3,67.1,,79.4,73.7,История,"Екатеринбург, ул. Советская, д. 5, кв. 108",+375005313122,True
Петров Андрей Никитич,М,2022,очная,,59.1,,,81.0,73.8,,82.1,74.0,Прикладная математика,"Санкт-Петербург, ул. Школьная, д. 83, кв. 45",+375065063731,True
Баранова Ирина Никитична,Ж,2022,очная,,73.8,76.2,71.2,,,,69.9,71.4,Физика,"Санкт-Петербург, ул. Пролетарская, д. 84, кв. 162",+375625257150,False
Фёдорова Виктория Владимировна,Ж,2022,очная,,69.4,,,62.9,56.5,,81.2,68.6,Прикладная математика,"Воронеж, ул. Победы, д. 159, кв. 21",+375025743263,False
Баранова Ольга Денисовна,Ж,2022,очно-заочная,,75.1,67.6,,,,63.0,87.9,75.9,Медицинская биохимия,"Казань, ул. Ленина, д. 59, кв. 188",+375553380339,True
Соловьёва Светлана Алексеевна,Ж,2022,очная,62.6,,,87.4,,,71.5,67.1,73.2,Физика,"Новосибирск, ул. Советская, д. 45, кв. 152",+375833816742,True
Егорова Ольга Алексеевна,Ж,2022,очная,,,71.5,,69.7,,75.1,81.7,73.8,Экономика,"Нижний Новгород, ул. Новая, д. 97, кв. 43",+375776896270,True
Морозова Елена Михайловна,Ж,2022,очная,,60.7,,,51.9,,61.9,72.6,63.5,Медицинская биохимия,"Краснодар, ул. Советская, д. 86, кв. 35",+375732300857,False
Соколов Никита Никитич,М,2022,очная,,,54.4,,74.2,86.1,,80.1,74.1,Прикладная математика,"Самара, ул. Мира, д. 50, кв. 196",+375645875066,True
Фёдорова Ольга Ивановна,Ж,2022,заочная,54.5,,70.4,,,74.1,,74.0,70.8,Экономика,"Новосибирск, ул. Центральная, д. 64, кв. 155",+375920116691,True
Соколов Сергей Алексеевич,М,2022,заочная,,,63.2,,,65.0,60.5,81.6,70.4,Химия,"Санкт-Петербург, ул. Советская, д. 163, кв. 147",+375524364027,True
Соколов Дмитрий Владимирович,М,2022,очно-заочная,,60.1,,65.6,,52.0,,75.1,63.5,Экономика,"Санкт-Петербург, ул. Зелёная, д. 146, кв. 55",+375230234679,False
Петров Максим Михайлович,М,2022,очная,70.1,,61.6,,,,81.5,75.3,70.6,Прикладная математика,"Казань, ул. Ленина, д. 171, кв. 150",+375013806984,True
Соловьёва Наталья Владимировна,Ж,2022,очная,,,69.9,,,78.2,52.0,67.1,67.3,Медицинская биохимия,"Нижний Новгород, ул. Школьная, д. 26, кв. 1",+375762091843,True
Лебедев Роман Владимирович,М,2022,очно-заочная,44.4,,75.7,,,54.4,,93.0,71.1,История,"Екатеринбург, ул. Пролетарская, д. 125, кв. 103",+375915671649,True
Козлов Максим Иванович,М,2022,очная,62.2,,71.3,,,,84.8,89.7,77.4,Экономика,"Краснодар, ул. Советская, д. 124, кв. 170",+375833321160,True
Соколов Егор Михайлович,М,2022,очная,,,89.6,78.3,,76.4,,81.3,79.7,Экономика,"Нижний Новгород, ул. Победы, д. 148, кв. 197",+375915668633,True
Петров Илья Петрович,М,2022,очная,,74.7,,,55.1,55.0,,77.7,69.1,История,"Самара, ул. Ленина, д. 80, кв. 16",+375983665528,True
Павлова Виктория Петровна,Ж,2022,очная,,,59.2,64.4,74.8,,,83.4,72.9,Экономика,"Новосибирск, ул. Пролетарская, д. 73, кв. 38",+375095481497,True
Фёдорова Ольга Михайловна,Ж,2022,очно-заочная,61.9,,81.4,56.6,,,,76.5,70.9,Биология,"Москва, ул. Мира, д. 125, кв. 187",+375642086567,True
Егорова Елена Петровна,Ж,2022,очная,,59.3,46.3,,,,59.6,77.0,63.8,История,"Самара, ул. Ленина, д. 182, кв. 78",+375729277423,False
Иванов Сергей Никитич,М,2022,очно-заочная,78.4,75.6,,,56.1,,,88.8,78.3,Физика,"Санкт-Петербург, ул. Школьная, д. 122, кв. 46",+375018596263,True
Соколов Сергей Денисович,М,2022,очная,,79.5,,75.2,63.9,,,71.9,73.6,Прикладная математика,"Воронеж, ул. Центральная, д. 162, кв. 168",+375750111178,True
Новиков Роман Денисович,М,2022,очная,57.6,,,,75.2,84.8,,87.0,76.8,Медицинская биохимия,"Новосибирск, ул. Советская, д. 84, кв. 17",+375826068887,True
Козлов Роман Петрович,М,2022,очно-заочная,56.4,54.3,,,,62.7,,67.1,62.3,Экономика,"Санкт-Петербург, ул. Ленина, д. 33, кв. 148",+375321840118,False
Сидоров Андрей Владимирович,М,2022,заочная,65.7,67.5,,,,60.0,,68.1,66.3,Химия,"Краснодар, ул. Мира, д. 148, кв. 126",+375585988310,True
Сидоров Сергей Михайлович,М,2022,заочная,,70.2,,,60.1,,50.6,60.5,58.7,Медицинская биохимия,"Казань, ул. Центральная, д. 98, кв. 167",+375267146283,False
Кузнецов Илья Никитич,М,2022,очная,,,,,60.9,85.4,79.3,75.0,74.6,Медицинская биохимия,"Самара, ул. Победы, д. 20, кв. 70",+375181861515,True
Васильева Ирина Сергеевна,Ж,2022,очная,57.3,65.2,,58.8,,,,79.5,67.2,Физика,"Казань, ул. Пролетарская, д. 126, кв. 25",+375859484910,False
Сидоров Никита Никитич,М,2022,заочная,,,,,73.1,80.3,63.3,76.5,72.8,Физика,"Пермь, ул. Мира, д. 169, кв. 33",+375269405396,True
Фёдорова Екатерина Никитична,Ж,2022,очно-заочная,,,60.2,,56.4,64.4,,79.9,66.4,Биология,"Санкт-Петербург, ул. Центральная, д. 105, кв. 198",+375511131290,False
Козлов Илья Денисович,М,2022,заочная,78.0,,,52.8,79.4,,,76.1,71.8,Прикладная математика,"Самара, ул. Победы, д. 191, кв. 2",+375685389097,True
Павлова Светлана Алексеевна,Ж,2022,очная,,62.8,,,52.5,,40.2,83.0,62.2,Физика,"Санкт-Петербург, ул. Школьная, д. 174, кв. 64",+375814474430,False
Егорова Виктория Сергеевна,Ж,2022,заочная,76.2,,,,65.6,68.7,,80.8,73.3,Информатика и вычислительная техника,"Самара, ул. Зелёная, д. 85, кв. 77",+375510526501,True
Петров Сергей Алексеевич,М,2022,очная,51.6,56.7,,72.1,,,,70.2,62.9,История,"Воронеж, ул. Мира, д. 138, кв. 69",+375177225605,False
Морозова Ольга Сергеевна,Ж,2022,очная,,69.9,,54.9,,65.8,,77.5,70.2,Биология,"Казань, ул. Советская, д. 108, кв. 126",+375872568621,False
Васильева Анна Алексеевна,Ж,2022,очная,43.9,79.4,,,,56.5,,72.8,64.2,Информатика и вычислительная техника,"Казань, ул. Центральная, д. 125, кв. 22",+375639282341,False
Егорова Ольга Сергеевна,Ж,2022,очная,67.6,,,,72.9,,57.9,78.1,69.2,Физика,"Новосибирск, ул. Новая, д. 10, кв. 71",+375326093106,False
Кузнецов Илья Сергеевич,М,2022,очная,68.1,,,66.9,62.4,,,75.5,68.3,История,"Нижний Новгород, ул. Новая, д. 64, кв. 82",+375020005347,True
Петров Роман Владимирович,М,2022,очная,,,54.3,61.3,,48.9,,60.2,56.0,Физика,"Нижний Новгород, ул. Пролетарская, д. 136, кв. 155",+375534396112,False
Морозова Виктория Ивановна,Ж,2022,очная,,70.9,,,,77.8,40.0,71.6,65.2,История,"Краснодар, ул. Победы, д. 137, кв. 185",+375202368485,False
Морозова Наталья Владимировна,Ж,2022,очная,,,,73.6,81.7,62.4,,73.3,72.0,Физика,"Самара, ул. Ленина, д. 178, кв. 49",+375678812786,True
Егорова Елена Михайловна,Ж,2022,очная,59.8,80.2,,,61.8,,,72.9,69.3,Экономика,"Пермь, ул. Центральная, д. 78, кв. 57",+375448123083,True
Смирнов Максим Алексеевич,М,2022,очная,64.6,52.1,,,,,61.9,87.4,69.8,История,"Нижний Новгород, ул. Школьная, д. 22, кв. 181",+375842694500,True
Кузьмина Ольга Алексеевна,Ж,2022,очная,63.8,,,,64.4,60.4,,68.3,66.2,Химия,"Самара, ул. Строителей, д. 53, кв. 114",+375354396273,False
Соловьёва Елена Алексеевна,Ж,2022,заочная,72.9,66.9,,59.5,,,,96.9,78.9,Экономика,"Новосибирск, ул. Центральная, д. 6, кв. 80",+375226931216,True
Петров Никита Алексеевич,М,2022,очно-заочная,63.5,,,,55.8,,56.3,84.6,68.7,Информатика и вычислительная техника,"Москва, ул. Мира, д. 64, кв. 198",+375142900185,True
Павлова Мария Алексеевна,Ж,2022,очная,,63.7,,49.9,71.1,,,73.7,66.3,Химия,"Санкт-Петербург, ул. Ленина, д. 12, кв. 27",+375841862030,True
Сидоров Никита Никитич,М,2022,очно-заочная,,85.1,,77.4,,64.0,,85.4,77.6,Экономика,"Санкт-Петербург, ул. Победы, д. 27, кв. 73",+375519515109,True
Козлов Никита Никитич,М,2022,очная,,69.1,,74.9,,70.6,,72.6,71.3,Химия,"Санкт-Петербург, ул. Центральная, д. 128, кв. 170",+375541022526,True
Петров Михаил Петрович,М,2022,очная,,54.0,79.7,,,58.0,,75.3,67.3,Медицинская биохимия,"Краснодар, ул. Новая, д. 124, кв. 178",+375695236687,False
Медведева Наталья Сергеевна,Ж,2022,очная,,,,55.2,71.5,88.2,,71.3,72.3,Биология,"Екатеринбург, ул. Школьная, д. 1, кв. 53",+375058721055,True
Кузьмина Екатерина Денисовна,Ж,2022,очная,,,,62.2,81.9,,59.3,80.4,70.7,Физика,"Новосибирск, ул. Новая, д. 188, кв. 7",+375650191792,False
Сидоров Егор Петрович,М,2022,очная,50.4,,,65.6,65.1,,,83.6,68.4,Химия,"Нижний Новгород, ул. Зелёная, д. 166, кв. 178",+375041200928,True
Соколов Никита Денисович,М,2022,очная,,,76.4,,92.5,,69.5,79.7,78.6,Физика,"Санкт-Петербург, ул. Строителей, д. 97, кв. 33",+375369036289,True
Фёдорова Наталья Никитична,Ж,2022,очно-заочная,,62.0,,59.7,,,67.1,75.9,65.9,Химия,"Санкт-Петербург, ул. Школьная, д. 155, кв. 200",+375503428113,False
Павлова Ирина Сергеевна,Ж,2022,очная,62.0,78.4,49.9,,,,,84.5,69.0,Экономика,"Нижний Новгород, ул. Советская, д. 80, кв. 3",+375546835652,True
Соловьёва Мария Владимировна,Ж,2022,заочная,80.7,,,,59.8,,44.2,74.1,65.9,Медицинская биохимия,"Москва, ул. Центральная, д. 42, кв. 39",+375711332288,False
Медведева Виктория Никитична,Ж,2022,очная,,76.1,67.8,,,53.8,,74.7,67.9,Медицинская биохимия,"Самара, ул. Пролетарская, д. 20, кв. 40",+375971024817,True
Сидоров Егор Михайлович,М,2022,очная,,,71.4,,65.7,,64.2,75.5,69.1,Экономика,"Краснодар, ул. Центральная, д. 196, кв. 114",+375219705466,True
Фёдорова Екатерина Никитична,Ж,2022,очная,,,56.4,,54.4,80.2,,75.8,68.4,Информатика и вычислительная техника,"Москва, ул. Победы, д. 180, кв. 144",+375021462961,True
Петров Михаил Никитич,М,2022,очная,,,,72.8,76.5,70.6,,75.1,75.0,Медицинская биохимия,"Екатеринбург, ул. Новая, д. 85, кв. 17",+375559737147,True
Лебедев Максим Алексеевич,М,2022,очная,73.4,,67.0,,51.1,,,79.6,70.5,История,"Краснодар, ул. Победы, д. 14, кв. 55",+375064421214,True
Лебедев Илья Владимирович,М,2022,очная,,56.0,72.3,,,63.9,,78.9,71.1,История,"Казань, ул. Мира, д. 51, кв. 90",+375677826596,True
Баранова Светлана Сергеевна,Ж,2022,очная,,,,,63.8,63.6,73.6,74.9,67.8,История,"Краснодар, ул. Мира, д. 128, кв. 82",+375164807279,True
Кузнецов Сергей Владимирович,М,2022,очно-заочная,,72.0,,,49.5,,70.3,89.3,72.3,Информатика и вычислительная техника,"Нижний Новгород, ул. Ленина, д. 78, кв. 79",+375817766558,True
Петров Егор Алексеевич,М,2022,очная,,55.4,58.2,,68.5,,,78.8,67.6,Медицинская биохимия,"Самара, ул. Советская, д. 23, кв. 27",+375109617981,True
Баранова Светлана Ивановна,Ж,2022,очно-заочная,,65.2,,68.9,,,69.7,84.4,75.1,Биология,"Санкт-Петербург, ул. Школьная, д. 119, кв. 106",+375605384444,True
Павлова Елена Ивановна,Ж,2022,заочная,63.9,,,65.0,,74.6,,89.1,74.6,История,"Самара, ул. Новая, д. 62, кв. 143",+375639609626,True
Егорова Екатерина Никитична,Ж,2022,очная,65.3,51.0,,71.8,,,,77.0,69.1,Медицинская биохимия,"Казань, ул. Строителей, д. 41, кв. 83",+375311060920,True
Морозова Светлана Владимировна,Ж,2022,очная,,44.1,,75.8,,56.0,,77.2,64.3,Биология,"Пермь, ул. Победы, д. 186, кв. 200",+375640412091,False
Петров Роман Петрович,М,2022,очная,63.6,69.9,75.7,,,,,75.1,71.2,Биология,"Краснодар, ул. Ленина, д. 106, кв. 19",+375713665722,True
Новиков Максим Иванович,М,2022,очная,,,74.6,62.9,,,66.9,81.4,74.5,Химия,"Екатеринбург, ул. Пролетарская, д. 8, кв. 138",+375088235130,True
Петров Сергей Алексеевич,М,2022,очная,53.6,75.9,,57.1,,,,82.5,69.0,Экономика,"Воронеж, ул. Победы, д. 65, кв. 45",+375346199423,True
Егорова Наталья Денисовна,Ж,2022,очная,,,69.4,,,84.0,61.6,75.6,72.5,История,"Санкт-Петербург, ул. Зелёная, д. 43, кв. 9",+375849649856,True
Попов Максим Владимирович,М,2022,очно-заочная,61.5,60.2,68.9,,,,,68.0,63.6,История,"Нижний Новгород, ул. Ленина, д. 184, кв. 85",+375379538164,False
Павлова Светлана Петровна,Ж,2022,очная,54.7,,,,55.3,75.8,,88.0,70.3,Медицинская биохимия,"Нижний Новгород, ул. Победы, д. 51, кв. 13",+375770461172,True
Егорова Виктория Сергеевна,Ж,2022,очная,68.3,,66.9,,63.0,,,84.7,70.7,Медицинская биохимия,"Пермь, ул. Строителей, д. 11, кв. 87",+375017164455,True
Попов Андрей Денисович,М,2022,очная,,,55.2,68.3,,,78.4,80.7,73.7,История,"Санкт-Петербург, ул. Ленина, д. 58, кв. 13",+375021563213,True
Медведева Александра Ивановна,Ж,2022,заочная,70.2,,69.9,,,,40.0,81.8,66.0,Химия,"Нижний Новгород, ул. Пролетарская, д. 98, кв. 70",+375229712529,False
Фёдорова Елена Петровна,Ж,2022,очная,,59.6,,51.0,67.8,,,85.9,67.6,Экономика,"Казань, ул. Центральная, д. 183, кв. 22",+375583311703,True
Лебедев Сергей Владимирович,М,2022,очная,66.3,76.6,80.8,,,,,85.6,79.5,История,"Казань, ул. Зелёная, д. 168, кв. 40",+375812356798,True
Кузнецов Никита Петрович,М,2022,очная,,85.4,72.7,,,61.3,,68.1,72.9,Экономика,"Санкт-Петербург, ул. Победы, д. 5, кв. 118",+375240787541,True
Соловьёва Мария Владимировна,Ж,2022,очная,,,,62.1,51.6,,83.9,76.6,67.8,Прикладная математика,"Воронеж, ул. Новая, д. 50, кв. 76",+375362948978,False
Кузнецов Александр Петрович,М,2022,очная,63.4,,,,65.7,,60.9,87.9,73.5,Биология,"Воронеж, ул. Новая, д. 101, кв. 26",+375347323549,True
Петров Александр Алексеевич,М,2022,очная,,,,60.7,70.0,59.0,,69.8,64.8,Физика,"Санкт-Петербург, ул. Мира, д. 48, кв. 86",+375720765024,False
Соколова Екатерина Никитична,Ж,2022,заочная,62.1,,,63.9,55.7,,,73.5,65.4,Информатика и вычислительная техника,"Казань, ул. Победы, д. 135, кв. 129",+375221145775,True
Фёдорова Ирина Михайловна,Ж,2022,очная,52.5,,67.6,,,52.2,,82.3,64.6,Экономика,"Пермь, ул. Ленина, д. 38, кв. 106",+375325703965,False
Кузнецов Дмитрий Владимирович,М,2022,очная,,,69.3,,49.4,66.0,,73.2,64.7,Физика,"Нижний Новгород, ул. Школьная, д. 101, кв. 151",+375644309859,False
Новиков Михаил Никитич,М,2022,очная,67.4,74.4,,50.4,,,,78.4,68.3,Физика,"Казань, ул. Советская, д. 76, кв. 4",+375703491074,False
Иванов Егор Иванович,М,2022,очная,,,64.6,,73.9,,63.2,73.2,70.2,Прикладная математика,"Новосибирск, ул. Победы, д. 111, кв. 150",+375143075366,True
Смирнов Дмитрий Михайлович,М,2022,очная,,63.1,,54.8,76.0,,,77.8,68.2,Биология,"Воронеж, ул. Строителей, д. 52, кв. 78",+375414978266,False
Лебедев Андрей Никитич,М,2022,очная,,,83.2,,,63.2,56.6,68.6,67.8,Медицинская биохимия,"Пермь, ул. Ленина, д. 197, кв. 108",+375129439852,True
Кузьмина Виктория Ивановна,Ж,2022,очно-заочная,,48.2,,48.3,,,69.8,80.8,65.7,Экономика,"Санкт-Петербург, ул. Ленина, д. 70, кв. 167",+375159149750,True
Козлов Роман Иванович,М,2022,очно-заочная,,51.1,,,73.4,,56.9,78.6,66.0,Физика,"Казань, ул. Ленина, д. 125, кв. 160",+375311029181,False
Лебедев Дмитрий Иванович,М,2022,заочная,84.9,,,71.5,,,61.7,72.4,73.9,Физика,"Пермь, ул. Центральная, д. 157, кв. 175",+375791620223,True
Кузнецов Андрей Денисович,М,2022,очная,47.6,,57.2,,,64.1,,71.8,61.3,Медицинская биохимия,"Санкт-Петербург, ул. Зелёная, д. 107, кв. 109",+375204719609,False
Лебедев Роман Иванович,М,2022,заочная,,67.0,64.9,57.3,,,,73.8,66.3,Физика,"Пермь, ул. Победы, д. 90, кв. 181",+375868122595,False
Смирнов Максим Михайлович,М,2022,заочная,65.0,,,68.6,,55.2,,86.2,69.6,Химия,"Нижний Новгород, ул. Пролетарская, д. 149, кв. 90",+375996100231,True
Фёдорова Наталья Никитична,Ж,2022,очно-заочная,,59.6,,,,68.5,73.9,79.1,72.5,Медицинская биохимия,"Воронеж, ул. Советская, д. 16, кв. 157",+375410175902,True
Соколов Михаил Алексеевич,М,2022,заочная,,71.0,,,67.3,,60.2,79.9,69.8,Биология,"Новосибирск, ул. Новая, д. 136, кв. 50",+375190130205,False
Медведева Виктория Петровна,Ж,2022,очная,,,,,53.0,68.9,64.9,76.5,67.3,Экономика,"Нижний Новгород, ул. Пролетарская, д. 144, кв. 36",+375176619128,True
Лебедев Дмитрий Сергеевич,М,2023,очная,61.0,,50.6,,63.7,,,78.6,65.1,Химия,"Нижний Новгород, ул. Советская, д. 41, кв. 74",+375189389846,False
Морозова Светлана Денисовна,Ж,2023,заочная,61.9,,53.9,,,74.7,,72.8,65.3,Информатика и вычислительная техника,"Пермь, ул. Школьная, д. 194, кв. 170",+375037199051,True
Баранова Виктория Петровна,Ж,2023,заочная,,76.9,65.3,58.5,,,,88.7,75.1,Биология,"Воронеж, ул. Зелёная, д. 78, кв. 59",+375000389608,True
Соколов Никита Алексеевич,М,2023,очная,,49.2,,70.4,76.2,,,74.0,67.7,История,"Нижний Новгород, ул. Новая, д. 15, кв. 61",+375319036890,True
Павлова Анна Ивановна,Ж,2023,очная,,76.8,,60.6,,,68.9,79.6,74.6,Биология,"Новосибирск, ул. Пролетарская, д. 102, кв. 123",+375111483753,True
Попов Илья Михайлович,М,2023,заочная,,61.8,73.5,,69.0,,,67.5,69.5,История,"Самара, ул. Зелёная, д. 72, кв. 21",+375328348315,True
Соколова Екатерина Сергеевна,Ж,2023,очно-заочная,73.3,,,51.7,,73.0,,84.8,71.8,Медицинская биохимия,"Санкт-Петербург, ул. Ленина, д. 72, кв. 157",+375670667033,True
Козлов Никита Иванович,М,2023,очно-заочная,58.5,,65.0,,56.5,,,76.7,67.5,История,"Казань, ул. Пролетарская, д. 56, кв. 194",+375059660186,True
Медведева Ирина Денисовна,Ж,2023,очная,,,,,59.5,77.4,77.8,86.4,75.3,Биология,"Москва, ул. Центральная, д. 175, кв. 71",+375138459609,True
Смирнов Илья Иванович,М,2023,очная,,,62.7,,66.4,47.6,,73.2,63.7,Информатика и вычислительная техника,"Краснодар, ул. Ленина, д. 92, кв. 123",+375836091498,False
Лебедев Дмитрий Алексеевич,М,2023,очная,,,78.3,,,77.4,54.0,74.4,73.0,Физика,"Москва, ул. Победы, д. 30, кв. 168",+375028795083,True
Смирнов Илья Иванович,М,2023,очно-заочная,,,66.9,,68.8,,55.4,80.5,69.6,Прикладная математика,"Санкт-Петербург, ул. Строителей, д. 20, кв. 61",+375359561642,False
Попов Роман Никитич,М,2023,заочная,,,64.7,62.8,,65.8,,78.0,67.4,История,"Новосибирск, ул. Пролетарская, д. 7, кв. 28",+375935889536,False
Васильева Анна Владимировна,Ж,2023,очно-заочная,65.2,,,,,68.8,64.8,75.8,69.8,Медицинская биохимия,"Санкт-Петербург, ул. Строителей, д. 14, кв. 156",+375788754394,True
Павлова Александра Никитична,Ж,2023,очная,64.3,,80.4,,,75.2,,76.2,73.8,Медицинская биохимия,"Нижний Новгород, ул. Строителей, д. 130, кв. 20",+375579376392,True
Егорова Ольга Алексеевна,Ж,2023,очная,,,70.1,,,57.5,75.9,80.2,72.5,Физика,"Екатеринбург, ул. Мира, д. 117, кв. 4",+375216487120,True
Васильева Анна Петровна,Ж,2023,очная,,,,68.0,68.0,,48.3,71.2,65.7,Биология,"Санкт-Петербург, ул. Школьная, д. 87, кв. 152",+375991015767,False
Кузьмина Елена Денисовна,Ж,2023,очно-заочная,,57.2,,,70.8,78.2,,91.4,77.0,Информатика и вычислительная техника,"Нижний Новгород, ул. Зелёная, д. 98, кв. 83",+375728941347,True
Козлов Роман Владимирович,М,2023,очная,,75.9,65.4,51.4,,,,74.7,67.6,Биология,"Казань, ул. Пролетарская, д. 158, кв. 81",+375154214477,False
Смирнов Максим Михайлович,М,2023,заочная,58.8,55.2,,,,,60.4,75.2,62.2,Физика,"Москва, ул. Строителей, д. 138, кв. 50",+375070534967,False
Кузьмина Наталья Петровна,Ж,2023,очно-заочная,49.1,,,72.4,,,50.1,79.4,66.9,Физика,"Санкт-Петербург, ул. Школьная, д. 21, кв. 191",+375315285478,False
Соловьёва Мария Ивановна,Ж,2023,очная,,,82.6,,56.4,43.1,,76.3,68.0,Информатика и вычислительная техника,"Москва, ул. Победы, д. 36, кв. 151",+375633472727,True
Петров Сергей Сергеевич,М,2023,очная,77.1,,,86.7,48.1,,,81.0,74.7,Химия,"Самара, ул. Победы, д. 164, кв. 90",+375782434776,True
Фёдорова Светлана Михайловна,Ж,2023,очная,65.0,,62.2,93.1,,,,69.0,70.6,Прикладная математика,"Нижний Новгород, ул. Советская, д. 89, кв. 179",+375627796304,True
Соколов Сергей Иванович,М,2023,очная,,,66.6,,,72.8,75.1,78.6,75.6,Химия,"Казань, ул. Зелёная, д. 187, кв. 57",+375504763928,True
Новиков Дмитрий Никитич,М,2023,очная,71.1,,,,57.0,69.7,,75.9,70.5,История,"Пермь, ул. Советская, д. 168, кв. 13",+375835832863,True
Попов Максим Никитич,М,2023,очная,,75.6,,,56.7,64.0,,77.8,69.8,Прикладная математика,"Краснодар, ул. Ленина, д. 41, кв. 73",+375403304166,False
Петров Илья Петрович,М,2023,очная,,,,71.5,,66.9,47.7,85.6,68.7,Физика,"Самара, ул. Новая, д. 50, кв. 156",+375456804473,False
Лебедев Роман Владимирович,М,2023,очная,56.6,58.3,,63.1,,,,86.2,68.3,Биология,"Краснодар, ул. Новая, д. 96, кв. 196",+375817390637,False
Петров Роман Михайлович,М,2023,очная,40.0,,,,,93.1,79.2,79.3,74.1,Экономика,"Санкт-Петербург, ул. Мира, д. 104, кв. 158",+375789307464,True
Соколова Екатерина Никитична,Ж,2023,очно-заочная,62.1,,,64.9,70.8,,,81.9,71.7,Экономика,"Нижний Новгород, ул. Победы, д. 83, кв. 119",+375788116162,True
Медведева Екатерина Петровна,Ж,2023,очная,74.4,,,65.8,,64.3,,77.1,69.9,Экономика,"Пермь, ул. Новая, д. 103, кв. 3",+375416448595,True
Васильева Екатерина Михайловна,Ж,2023,очная,,63.2,73.9,,70.6,,,60.4,67.8,История,"Новосибирск, ул. Мира, д. 135, кв. 184",+375705622710,True
Кузнецов Сергей Петрович,М,2023,очная,72.8,,67.9,,,60.5,,75.7,69.5,Биология,"Москва, ул. Победы, д. 71, кв. 73",+375694596488,True
Морозова Ольга Алексеевна,Ж,2023,очная,,73.9,70.5,,,,60.2,80.4,71.8,Медицинская биохимия,"Самара, ул. Пролетарская, д. 71, кв. 189",+375973203319,True
Лебедев Максим Иванович,М,2023,очная,58.4,50.5,,,58.4,,,83.2,65.4,Химия,"Санкт-Петербург, ул. Победы, д. 144, кв. 101",+375667548581,False
Васильева Ольга Михайловна,Ж,2023,очно-заочная,,,,73.9,72.1,,69.8,81.1,75.4,Прикладная математика,"Воронеж, ул. Школьная, д. 46, кв. 7",+375575639836,True
Кузнецов Александр Денисович,М,2023,очная,56.7,65.3,,,71.7,,,82.5,70.9,Химия,"Москва, ул. Пролетарская, д. 70, кв. 9",+375476044090,True
Баранова Наталья Денисовна,Ж,2023,очная,,,,80.0,67.5,63.8,,84.4,76.1,Физика,"Новосибирск, ул. Мира, д. 22, кв. 108",+375107051843,True
Соловьёва Анна Никитична,Ж,2023,заочная,,64.9,60.6,,62.4,,,73.5,64.7,Информатика и вычислительная техника,"Пермь, ул. Мира, д. 187, кв. 69",+375127049386,True
Смирнов Александр Михайлович,М,2023,очная,58.9,,65.5,57.7,,,,76.2,64.5,Экономика,"Санкт-Петербург, ул. Мира, д. 187, кв. 23",+375259020357,False
Смирнов Сергей Сергеевич,М,2023,очно-заочная,,41.6,69.2,,,61.8,,73.1,63.2,Физика,"Воронеж, ул. Победы, д. 49, кв. 70",+375324474175,False
Медведева Александра Денисовна,Ж,2023,заочная,76.1,75.2,,,,45.5,,73.4,70.3,Биология,"Воронеж, ул. Школьная, д. 166, кв. 175",+375435884183,True
Смирнов Михаил Иванович,М,2023,заочная,,57.1,,,55.3,71.5,,76.8,67.4,Медицинская биохимия,"Москва, ул. Школьная, д. 180, кв. 27",+375502675512,True
Васильева Ирина Денисовна,Ж,2023,очная,65.4,,,44.5,,,72.1,70.6,65.1,Медицинская биохимия,"Краснодар, ул. Победы, д. 65, кв. 186",+375595764038,False
Смирнов Никита Владимирович,М,2023,очная,,69.8,,,71.6,,83.3,70.1,75.0,Биология,"Самара, ул. Мира, д. 34, кв. 170",+375501425762,True
Кузнецов Максим Алексеевич,М,2023,очная,40.0,66.2,,,,85.2,,85.4,72.1,Физика,"Нижний Новгород, ул. Ленина, д. 123, кв. 41",+375517863767,True
Егорова Мария Алексеевна,Ж,2023,очная,,71.1,63.3,75.4,,,,72.2,71.1,Медицинская биохимия,"Пермь, ул. Советская, д. 89, кв. 126",+375903923555,True
