ФИО,Пол,Год поступления,Форма обучения,Специальность,Адрес регистрации,Телефон,Средний балл аттестата,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,CE_mean,Общий балл при поступлении
Егорова Ирина Михайловна,Ж,2022,очно-заочная,Экономика,"Новосибирск, ул. Зелёная, д. 31, кв. 179",+375709833250,75.3,,,47.4,48.4,74.5,,,56.76666666666667,63.1
Медведева Светлана Денисовна,Ж,2022,заочная,Биология,"Пермь, ул. Зелёная, д. 81, кв. 177",+375518160647,78.2,,,,56.2,42.4,,72.2,56.93333333333334,66.4
Петров Михаил Иванович,М,2022,очная,Прикладная математика,"Москва, ул. Ленина, д. 173, кв. 54",+375396543644,75.6,65.8,,,,,46.8,59.5,57.36666666666667,65.5
Попов Никита Михайлович,М,2022,очная,Физика,"Воронеж, ул. Пролетарская, д. 26, кв. 84",+375014213333,73.4,,,55.1,46.5,,49.8,,50.46666666666666,58.9
Морозова Анна Сергеевна,Ж,2022,очная,Медицинская биохимия,"Нижний Новгород, ул. Пролетарская, д. 67, кв. 48",+375268431146,71.6,,,82.4,,,61.7,49.9,64.66666666666667,65.6
Баранова Виктория Ивановна,Ж,2022,очная,Экономика,"Пермь, ул. Центральная, д. 61, кв. 69",+375998649995,76.8,,60.8,,56.7,66.9,,,61.46666666666667,65.9
Баранова Ирина Ивановна,Ж,2022,очная,Биология,"Краснодар, ул. Пролетарская, д. 88, кв. 94",+375247006440,79.9,,60.4,,50.7,,78.6,,63.23333333333333,68.5
Фёдорова Екатерина Денисовна,Ж,2022,очная,История,"Новосибирск, ул. Зелёная, д. 109, кв. 54",+375804983752,74.1,,,,62.8,55.0,47.2,,55.0,63.2
Васильева Ирина Владимировна,Ж,2022,очная,Информатика и вычислительная техника,"Воронеж, ул. Школьная, д. 94, кв. 103",+375310700399,84.8,,47.2,,44.7,,,56.2,49.366666666666674,60.5
Петров Михаил Денисович,М,2022,очная,Информатика и вычислительная техника,"Казань, ул. Зелёная, д. 47, кв. 147",+375580694763,92.5,66.8,,,,64.7,54.8,,62.1,71.6
Соколов Егор Никитич,М,2022,очная,Физика,"Новосибирск, ул. Пролетарская, д. 176, кв. 59",+375355847415,80.2,52.4,,,52.5,,61.7,,55.53333333333334,63.6
Петров Егор Алексеевич,М,2022,очная,Прикладная математика,"Санкт-Петербург, ул. Центральная, д. 61, кв. 143",+375820029428,77.5,,69.8,66.8,,,,45.6,60.73333333333333,68.3
Егорова Александра Денисовна,Ж,2022,заочная,Биология,"Воронеж, ул. Новая, д. 51, кв. 38",+375728563314,72.2,,,47.9,,92.3,64.0,,68.06666666666666,69.5
Соколов Илья Иванович,М,2022,очная,Медицинская биохимия,"Новосибирск, ул. Зелёная, д. 3, кв. 46",+375766524068,79.9,71.1,86.2,,,,86.9,,81.4,81.5
Петров Михаил Никитич,М,2022,очно-заочная,Прикладная математика,"Воронеж, ул. Зелёная, д. 35, кв. 162",+375012276599,86.6,,,,73.8,73.7,,58.5,68.66666666666667,74.5
Соловьёва Ирина Петровна,Ж,2022,очная,Информатика и вычислительная техника,"Пермь, ул. Строителей, д. 185, кв. 81",+375380132046,89.4,53.4,,63.6,,,,51.9,56.300000000000004,66.6
Козлов Никита Иванович,М,2022,очная,Прикладная математика,"Краснодар, ул. Центральная, д. 65, кв. 144",+375145606373,86.1,76.8,,,,64.2,,60.1,67.03333333333333,72.6
Фёдорова Светлана Владимировна,Ж,2022,очно-заочная,Информатика и вычислительная техника,"Самара, ул. Ленина, д. 102, кв. 26",+375584378327,82.8,,,51.5,49.5,,,76.6,59.199999999999996,68.7
Кузнецов Александр Никитич,М,2022,очно-заочная,Прикладная математика,"Новосибирск, ул. Ленина, д. 56, кв. 66",+375419821072,80.2,,71.9,67.2,73.2,,,,70.76666666666667,75.6
Лебедев Роман Денисович,М,2022,заочная,Физика,"Краснодар, ул. Советская, д. 116, кв. 191",+375600872523,71.4,70.9,68.6,,,73.1,,,70.86666666666666,71.0
Павлова Анна Михайловна,Ж,2022,очная,Химия,"Нижний Новгород, ул. Центральная, д. 93, кв. 93",+375040096511,77.1,72.3,,,67.2,,63.4,,67.63333333333334,70.4
Сидоров Андрей Михайлович,М,2022,очная,Физика,"Пермь, ул. Строителей, д. 66, кв. 89",+375601751631,76.4,,,,89.5,,61.6,70.7,73.93333333333334,76.0
Лебедев Михаил Петрович,М,2022,очно-заочная,Физика,"Москва, ул. Новая, д. 32, кв. 90",+375588722143,77.1,,,59.4,60.2,,,42.7,54.1,62.8
Баранова Анна Сергеевна,Ж,2022,очная,Химия,"Самара, ул. Победы, д. 148, кв. 148",+375638156356,73.4,,54.3,,50.7,,,65.1,56.699999999999996,60.7
Кузьмина Екатерина Ивановна,Ж,2022,очная,Химия,"Пермь, ул. Мира, д. 200, кв. 73",+375378068941,82.2,60.1,,64.7,,,,76.4,67.06666666666668,71.8
Соколов Андрей Петрович,М,2022,очная,Экономика,"Нижний Новгород, ул. Школьная, д. 173, кв. 131",+375956119903,76.1,58.0,64.4,,,,82.9,,68.43333333333334,71.8
Морозова Ольга Денисовна,Ж,2022,очная,Экономика,"Краснодар, ул. Зелёная, д. 21, кв. 98",+375682666151,75.6,,,53.7,72.1,,71.6,,65.8,69.5
Сидоров Дмитрий Денисович,М,2022,заочная,Биология,"Самара, ул. Центральная, д. 119, кв. 162",+375592151412,73.4,46.5,,,66.2,,,65.0,59.23333333333333,66.1
Козлов Илья Михайлович,М,2022,очная,Медицинская биохимия,"Новосибирск, ул. Мира, д. 164, кв. 87",+375255922067,79.1,52.0,67.5,,,66.1,,,61.86666666666667,69.4
Фёдорова Елена Денисовна,Ж,2022,очная,Медицинская биохимия,"Воронеж, ул. Пролетарская, д. 147, кв. 104",+375139670352,86.7,,61.5,,58.5,,62.1,,60.699999999999996,68.0
Фёдорова Ольга Алексеевна,Ж,2022,очная,Биология,"Санкт-Петербург, ул. Советская, д. 42, кв. 88",+375498247537,77.6,,72.7,62.5,58.4,,,,64.53333333333333,70.0
Павлова Елена Алексеевна,Ж,2022,очная,Физика,"Екатеринбург, ул. Школьная, д. 82, кв. 168",+375223847527,79.4,57.3,56.4,,,88.4,,,67.36666666666666,70.9
Кузьмина Мария Владимировна,Ж,2022,очная,Физика,"Казань, ул. Центральная, д. 155, кв. 166",+375873503702,89.3,71.3,55.5,72.0,,,,,66.26666666666667,75.1
Медведева Александра Михайловна,Ж,2022,очная,Информатика и вычислительная техника,"Воронеж, ул. Центральная, д. 114, кв. 200",+375081831395,84.9,66.8,,,62.3,55.9,,,61.666666666666664,70.3
Смирнов Александр Михайлович,М,2022,очная,Информатика и вычислительная техника,"Нижний Новгород, ул. Пролетарская, д. 134, кв. 116",+375622974366,81.2,79.4,64.1,,,,75.6,,73.03333333333333,75.9
Новиков Роман Денисович,М,2022,заочная,Медицинская биохимия,"Воронеж, ул. Мира, д. 48, кв. 6",+375884790875,81.0,,61.4,85.7,,,40.0,,62.36666666666667,70.3
Фёдорова Екатерина Денисовна,Ж,2022,очная,Биология,"Новосибирск, ул. Победы, д. 170, кв. 65",+375227496479,74.1,,66.7,68.5,79.9,,,,71.7,73.4
Попов Егор Владимирович,М,2022,очная,История,"Санкт-Петербург, ул. Победы, д. 43, кв. 102",+375931276158,73.5,63.8,68.5,,,,87.1,,73.13333333333334,74.8
Попов Михаил Сергеевич,М,2022,заочная,Экономика,"Санкт-Петербург, ул. Советская, д. 17, кв. 122",+375381186605,78.5,,64.1,,,54.6,54.8,,57.833333333333336,64.2
Новиков Сергей Владимирович,М,2022,очно-заочная,История,"Пермь, ул. Ленина, д. 7, кв. 198",+375655153807,78.7,73.0,,,60.4,,75.8,,69.73333333333333,72.3
Соколов Сергей Иванович,М,2022,очная,Биология,"Воронеж, ул. Строителей, д. 196, кв. 22",+375403051461,72.6,,,,,75.1,63.6,67.8,68.83333333333333,70.6
Фёдорова Александра Владимировна,Ж,2022,очная,Информатика и вычислительная техника,"Санкт-Петербург, ул. Центральная, д. 159, кв. 40",+375554429916,81.9,64.2,,,,,70.8,58.8,64.60000000000001,72.5
Васильева Елена Денисовна,Ж,2022,очная,Медицинская биохимия,"Санкт-Петербург, ул. Новая, д. 80, кв. 59",+375055211846,76.0,,,66.8,70.1,,70.7,,69.19999999999999,71.1
Васильева Анна Никитична,Ж,2022,очно-заочная,Медицинская биохимия,"Екатеринбург, ул. Центральная, д. 114, кв. 161",+375463799694,84.5,65.4,,,80.9,61.1,,,69.13333333333334,72.6
Лебедев Дмитрий Петрович,М,2022,заочная,Информатика и вычислительная техника,"Новосибирск, ул. Мира, д. 135, кв. 44",+375546149285,77.4,55.4,,,62.6,,,66.2,61.4,66.8
Лебедев Андрей Иванович,М,2022,очно-заочная,История,"Москва, ул. Ленина, д. 170, кв. 92",+375926327305,76.8,,81.2,,,,50.2,69.6,67.0,70.6
Соколов Максим Алексеевич,М,2022,очная,Прикладная математика,"Нижний Новгород, ул. Зелёная, д. 120, кв. 139",+375904651310,72.1,,61.0,52.8,,,57.1,,56.96666666666667,63.5
Лебедев Дмитрий Михайлович,М,2022,очно-заочная,Прикладная математика,"Казань, ул. Строителей, д. 114, кв. 35",+375226085322,72.7,58.5,,,55.9,,,59.4,57.93333333333334,64.0
Баранова Александра Владимировна,Ж,2022,очная,Информатика и вычислительная техника,"Пермь, ул. Мира, д. 152, кв. 153",+375119481159,85.6,71.6,,86.3,,,,66.0,74.63333333333333,80.3
Соловьёва Мария Владимировна,Ж,2022,очная,Прикладная математика,"Краснодар, ул. Пролетарская, д. 112, кв. 135",+375135405029,79.3,59.6,82.1,,,,,69.1,70.26666666666667,74.6
Фёдорова Александра Ивановна,Ж,2022,очная,Химия,"Пермь, ул. Центральная, д. 89, кв. 124",+375494959740,80.0,90.8,58.2,,,,,55.5,68.16666666666667,71.5
Петров Роман Сергеевич,М,2022,заочная,Биология,"Пермь, ул. Победы, д. 23, кв. 114",+375423764155,87.3,80.8,50.1,,,,50.0,,60.300000000000004,70.3
Павлова Ирина Петровна,Ж,2022,очная,Биология,"Казань, ул. Школьная, д. 106, кв. 67",+375995877046,69.8,62.4,,,66.0,69.7,,,66.03333333333335,68.0
Морозова Елена Петровна,Ж,2022,очно-заочная,Информатика и вычислительная техника,"Новосибирск, ул. Центральная, д. 3, кв. 1",+375547254737,81.7,,,56.5,,,68.7,57.0,60.73333333333333,70.1
Васильева Наталья Михайловна,Ж,2022,очная,Физика,"Пермь, ул. Мира, д. 89, кв. 74",+375918899533,68.2,,81.9,,,56.9,67.6,,68.8,67.1
Соколова Анна Никитична,Ж,2022,очная,Экономика,"Краснодар, ул. Строителей, д. 3, кв. 177",+375545668755,75.1,,77.6,,,66.7,,48.8,64.36666666666667,66.9
Смирнов Александр Никитич,М,2022,очная,История,"Краснодар, ул. Зелёная, д. 77, кв. 3",+375408887920,70.8,57.6,,,48.8,,,64.3,56.9,60.4
Соколов Егор Алексеевич,М,2022,очная,Информатика и вычислительная техника,"Воронеж, ул. Центральная, д. 153, кв. 60",+375764969389,82.9,64.5,76.0,,,,,63.5,68.0,73.6
Козлов Сергей Владимирович,М,2022,очно-заочная,Прикладная математика,"Москва, ул. Строителей, д. 96, кв. 49",+375188406993,66.4,,54.9,68.7,,,,63.8,62.46666666666666,62.4
Васильева Виктория Алексеевна,Ж,2022,очная,История,"Воронеж, ул. Строителей, д. 112, кв. 102",+375852595419,76.3,51.9,,75.7,59.4,,,,62.333333333333336,67.8
Петров Максим Владимирович,М,2022,очно-заочная,Физика,"Екатеринбург, ул. Мира, д. 184, кв. 189",+375916154367,70.7,59.7,62.5,,56.1,,,,59.43333333333334,64.6
Кузнецов Роман Денисович,М,2022,очно-заочная,Прикладная математика,"Воронеж, ул. Новая, д. 57, кв. 68",+375300004382,72.6,55.6,74.0,,52.1,,,,60.56666666666666,64.5
Сидоров Роман Сергеевич,М,2022,заочная,Медицинская биохимия,"Санкт-Петербург, ул. Новая, д. 161, кв. 62",+375675907927,73.5,,,86.1,,57.1,59.1,,67.43333333333332,69.8
Смирнов Михаил Денисович,М,2022,очная,Экономика,"Пермь, ул. Пролетарская, д. 178, кв. 176",+375370258109,85.6,62.5,,80.7,,,70.8,,71.33333333333333,78.0
Соколова Ирина Денисовна,Ж,2022,очная,Химия,"Казань, ул. Центральная, д. 167, кв. 191",+375234291168,75.7,,60.0,59.3,75.2,,,,64.83333333333333,68.9
Медведева Ирина Алексеевна,Ж,2022,очная,Прикладная математика,"Пермь, ул. Центральная, д. 106, кв. 49",+375916662609,88.1,,,,64.4,80.2,,52.3,65.63333333333334,72.3
Лебедев Дмитрий Никитич,М,2022,заочная,Химия,"Санкт-Петербург, ул. Мира, д. 35, кв. 75",+375041863314,89.3,50.1,,,,71.3,58.7,,60.03333333333334,69.6
Смирнов Роман Владимирович,М,2022,заочная,История,"Санкт-Петербург, ул. Зелёная, д. 159, кв. 116",+375307253868,90.4,,51.7,,,63.0,,75.3,63.333333333333336,72.9
Лебедев Илья Михайлович,М,2022,очная,Химия,"Казань, ул. Пролетарская, д. 126, кв. 49",+375920425734,77.3,61.2,,49.4,,66.9,,,59.166666666666664,64.1
Соколов Сергей Денисович,М,2022,заочная,История,"Нижний Новгород, ул. Ленина, д. 39, кв. 13",+375433333411,79.0,,,69.9,66.9,,67.1,,67.96666666666667,72.3
Кузнецов Дмитрий Владимирович,М,2022,очная,История,"Пермь, ул. Ленина, д. 48, кв. 27",+375815143665,80.0,,60.9,,,,61.7,61.2,61.26666666666667,69.8
Попов Роман Михайлович,М,2022,очная,История,"Казань, ул. Центральная, д. 33, кв. 184",+375940280413,75.5,,69.0,75.4,,,,64.6,69.66666666666667,72.3
Иванов Илья Владимирович,М,2022,очная,История,"Краснодар, ул. Ленина, д. 60, кв. 24",+375029692312,80.2,,,,62.2,,57.1,69.0,62.76666666666667,68.4
Соколова Ирина Ивановна,Ж,2022,очно-заочная,История,"Новосибирск, ул. Ленина, д. 127, кв. 56",+375824136624,72.1,53.6,,68.7,,,,57.7,60.0,63.6
Фёдорова Виктория Михайловна,Ж,2022,очная,Прикладная математика,"Нижний Новгород, ул. Новая, д. 80, кв. 128",+375099904980,66.4,,,,40.0,83.3,,51.6,58.300000000000004,62.9
Новиков Сергей Никитич,М,2022,заочная,История,"Нижний Новгород, ул. Зелёная, д. 179, кв. 9",+375033188185,82.0,,68.6,,66.7,54.8,,,63.366666666666674,71.4
Кузнецов Сергей Михайлович,М,2022,очно-заочная,Прикладная математика,"Нижний Новгород, ул. Советская, д. 193, кв. 38",+375793118062,75.6,56.7,,,,53.6,,84.0,64.76666666666667,68.4
Морозова Екатерина Ивановна,Ж,2022,очно-заочная,История,"Москва, ул. Центральная, д. 199, кв. 101",+375219591939,71.8,84.5,56.1,,,75.0,,,71.86666666666666,71.3
Лебедев Илья Иванович,М,2022,очная,Химия,"Санкт-Петербург, ул. Строителей, д. 121, кв. 47",+375885360347,72.6,59.5,,68.5,,,,80.5,69.5,71.4
Соловьёва Виктория Алексеевна,Ж,2022,очная,Медицинская биохимия,"Екатеринбург, ул. Центральная, д. 98, кв. 4",+375145489021,86.8,,54.4,,64.7,,60.7,,59.93333333333334,68.6
Кузьмина Мария Никитична,Ж,2022,очная,История,"Санкт-Петербург, ул. Победы, д. 99, кв. 198",+375298891238,80.5,,88.8,,,71.1,,60.2,73.36666666666666,74.3
Сидоров Никита Сергеевич,М,2022,очная,Физика,"Краснодар, ул. Победы, д. 189, кв. 9",+375262668158,68.6,86.9,87.0,,,,,40.0,71.3,69.6
Козлов Максим Никитич,М,2022,очная,История,"Екатеринбург, ул. Зелёная, д. 189, кв. 198",+375114999781,70.6,,,42.2,54.3,,,45.3,47.26666666666667,55.2
Медведева Светлана Михайловна,Ж,2022,заочная,История,"Санкт-Петербург, ул. Строителей, д. 171, кв. 54",+375465562298,75.9,,68.7,,76.4,,,68.3,71.13333333333334,71.8
Смирнов Максим Денисович,М,2022,очная,Химия,"Краснодар, ул. Новая, д. 175, кв. 80",+375745909031,80.6,57.4,60.3,,,,81.6,,66.43333333333332,70.3
Соловьёва Ирина Петровна,Ж,2022,очная,Экономика,"Нижний Новгород, ул. Мира, д. 162, кв. 187",+375619143735,72.9,,75.6,,,89.7,59.3,,74.86666666666667,72.2
Морозова Наталья Алексеевна,Ж,2022,очная,Биология,"Москва, ул. Строителей, д. 134, кв. 32",+375417188237,76.7,,,59.8,72.4,,63.1,,65.1,69.7
Егорова Ольга Никитична,Ж,2022,очная,Химия,"Казань, ул. Зелёная, д. 164, кв. 77",+375824726792,78.4,,51.3,70.7,,,57.9,,59.96666666666667,66.9
Соколов Дмитрий Иванович,М,2022,очная,Физика,"Екатеринбург, ул. Школьная, д. 14, кв. 171",+375196802420,78.5,47.8,,,,56.6,69.4,,57.93333333333334,63.9
Медведева Ирина Петровна,Ж,2022,очная,Биология,"Екатеринбург, ул. Советская, д. 61, кв. 163",+375669749440,63.3,,,69.7,55.4,,,54.0,59.699999999999996,62.7
Попов Михаил Михайлович,М,2022,заочная,Информатика и вычислительная техника,"Воронеж, ул. Школьная, д. 4, кв. 43",+375945060114,79.0,44.6,87.5,,,,,77.1,69.73333333333333,72.6
Егорова Виктория Никитична,Ж,2022,очная,Информатика и вычислительная техника,"Казань, ул. Пролетарская, д. 31, кв. 102",+375960900510,67.3,,,68.9,,,51.6,76.7,65.73333333333333,64.4
Павлова Мария Денисовна,Ж,2022,заочная,Экономика,"Екатеринбург, ул. Ленина, д. 11, кв. 149",+375515971879,76.0,,66.9,59.6,,,66.4,,64.3,67.3
Новиков Александр Никитич,М,2022,заочная,Физика,"Краснодар, ул. Пролетарская, д. 40, кв. 96",+375069555596,74.7,54.7,62.9,,,73.6,,,63.73333333333333,68.3
Павлова Виктория Петровна,Ж,2022,очная,Химия,"Санкт-Петербург, ул. Победы, д. 41, кв. 128",+375252667184,71.2,,44.1,,,,71.8,56.1,57.333333333333336,61.0
Кузьмина Наталья Владимировна,Ж,2022,заочная,Прикладная математика,"Санкт-Петербург, ул. Пролетарская, д. 87, кв. 195",+375894683181,82.8,,,,75.4,64.1,,68.2,69.23333333333333,72.2
Сидоров Дмитрий Иванович,М,2022,очная,Физика,"Москва, ул. Ленина, д. 92, кв. 166",+375291252975,71.0,,64.4,70.1,52.5,,,,62.333333333333336,65.8
Смирнов Александр Денисович,М,2022,заочная,Медицинская биохимия,"Новосибирск, ул. Строителей, д. 28, кв. 33",+375602216834,74.6,62.0,,,,,68.8,84.9,71.9,72.9
Петров Дмитрий Сергеевич,М,2022,очная,Биология,"Краснодар, ул. Победы, д. 82, кв. 143",+375283401814,83.0,85.2,,,75.3,,,64.7,75.06666666666666,78.9
Сидоров Андрей Владимирович,М,2022,заочная,Биология,"Нижний Новгород, ул. Зелёная, д. 188, кв. 50",+375725369259,74.4,44.1,56.0,,,,,67.5,55.86666666666667,63.4
Попов Михаил Владимирович,М,2022,заочная,История,"Москва, ул. Новая, д. 92, кв. 186",+375890217615,73.1,50.7,70.1,,,,,58.2,59.666666666666664,66.2
Васильева Виктория Владимировна,Ж,2022,заочная,Информатика и вычислительная техника,"Новосибирск, ул. Центральная, д. 11, кв. 125",+375279298042,76.1,,68.2,,,63.4,71.1,,67.56666666666666,68.8
Лебедев Дмитрий Владимирович,М,2022,очно-заочная,Экономика,"Краснодар, ул. Строителей, д. 76, кв. 139",+375591856480,80.9,,64.7,,,,77.5,50.9,64.36666666666666,68.3
Иванов Илья Никитич,М,2022,очная,Биология,"Краснодар, ул. Победы, д. 146, кв. 48",+375495630793,86.4,78.5,,,63.0,47.0,,,62.833333333333336,73.0
Фёдорова Ольга Денисовна,Ж,2022,очная,Физика,"Пермь, ул. Школьная, д. 83, кв. 188",+375261756484,72.1,,,74.0,50.3,,71.6,,65.3,68.3
Попов Сергей Петрович,М,2022,очная,Биология,"Краснодар, ул. Центральная, д. 154, кв. 142",+375420170642,72.6,,48.3,,,,58.3,69.0,58.53333333333333,64.3
Медведева Александра Никитична,Ж,2022,очная,Экономика,"Новосибирск, ул. Советская, д. 136, кв. 40",+375681782164,76.0,,58.4,,69.3,,,84.6,70.76666666666667,71.0
Соколов Александр Михайлович,М,2022,очно-заочная,Экономика,"Краснодар, ул. Центральная, д. 68, кв. 139",+375494343531,79.1,,72.3,68.8,,61.2,,,67.43333333333334,69.8
Петров Сергей Денисович,М,2022,очная,Экономика,"Нижний Новгород, ул. Зелёная, д. 1, кв. 199",+375818958820,73.1,,,62.9,70.0,56.2,,,63.03333333333334,65.2
Павлова Мария Ивановна,Ж,2022,заочная,Физика,"Пермь, ул. Новая, д. 188, кв. 48",+375024288224,81.8,,63.8,66.5,,,87.7,,72.66666666666667,75.6
Соловьёва Анна Сергеевна,Ж,2022,очная,Прикладная математика,"Москва, ул. Пролетарская, д. 94, кв. 199",+375156852434,72.2,66.6,,,77.2,,,76.4,73.4,71.4
Баранова Екатерина Сергеевна,Ж,2022,заочная,История,"Самара, ул. Победы, д. 83, кв. 185",+375775077131,66.3,,,61.5,73.1,,62.9,,65.83333333333333,65.8
Медведева Мария Сергеевна,Ж,2022,очная,Информатика и вычислительная техника,"Санкт-Петербург, ул. Строителей, д. 100, кв. 49",+375396878716,80.9,,71.2,,60.5,,58.8,,63.5,69.8
Павлова Виктория Сергеевна,Ж,2022,заочная,Биология,"Пермь, ул. Зелёная, д. 197, кв. 142",+375113045897,81.6,,,,66.8,51.9,60.5,,59.73333333333333,65.4
Сидоров Егор Иванович,М,2022,заочная,Физика,"Новосибирск, ул. Пролетарская, д. 73, кв. 83",+375101639462,84.0,,90.4,,49.7,,49.9,,63.33333333333334,69.0
Сидоров Илья Алексеевич,М,2022,очная,Химия,"Воронеж, ул. Школьная, д. 29, кв. 25",+375916400840,65.7,61.3,,,57.5,,,62.4,60.4,61.8
Кузьмина Светлана Алексеевна,Ж,2022,очная,Информатика и вычислительная техника,"Пермь, ул. Советская, д. 12, кв. 34",+375680932467,73.7,,,,63.5,,79.4,52.5,65.13333333333334,66.3
Соколова Мария Алексеевна,Ж,2022,очно-заочная,Прикладная математика,"Новосибирск, ул. Ленина, д. 52, кв. 28",+375160671805,76.2,72.7,,84.3,,,,67.8,74.93333333333334,73.9
Соловьёва Анна Сергеевна,Ж,2022,очная,Физика,"Краснодар, ул. Победы, д. 26, кв. 9",+375025274138,88.2,,46.8,,,63.5,,60.9,57.06666666666666,66.9
Попов Роман Иванович,М,2022,очная,Медицинская биохимия,"Самара, ул. Новая, д. 169, кв. 126",+375399749062,76.7,,55.8,,,61.1,65.4,,60.76666666666667,66.1
Смирнов Максим Иванович,М,2022,очная,Медицинская биохимия,"Пермь, ул. Пролетарская, д. 180, кв. 152",+375972041308,69.6,,,81.1,76.5,,76.3,,77.96666666666665,75.9
Егорова Екатерина Петровна,Ж,2022,очная,История,"Казань, ул. Ленина, д. 94, кв. 57",+375573818452,79.5,,,65.6,53.9,,,75.2,64.89999999999999,68.5
Лебедев Дмитрий Денисович,М,2022,очная,История,"Самара, ул. Советская, д. 4, кв. 54",+375356060451,85.6,,,,70.1,73.2,70.5,,71.26666666666667,77.2
Медведева Александра Петровна,Ж,2022,очная,Прикладная математика,"Краснодар, ул. Советская, д. 120, кв. 164",+375989569790,84.3,79.9,,62.2,66.6,,,,69.56666666666668,76.1
Медведева Наталья Сергеевна,Ж,2022,очная,Прикладная математика,"Москва, ул. Школьная, д. 143, кв. 191",+375739758311,81.1,,58.8,,69.6,,85.3,,71.23333333333333,75.3
Иванов Роман Михайлович,М,2022,очная,История,"Воронеж, ул. Школьная, д. 182, кв. 15",+375498273595,79.3,,59.3,,,,69.0,61.2,63.166666666666664,67.0
Соколова Наталья Ивановна,Ж,2022,заочная,Биология,"Самара, ул. Центральная, д. 136, кв. 11",+375242063624,64.1,63.0,,,,67.8,,62.0,64.26666666666667,64.0
Егорова Наталья Владимировна,Ж,2022,очная,Биология,"Санкт-Петербург, ул. Центральная, д. 20, кв. 56",+375419133351,77.9,,,65.8,,,62.1,52.4,60.1,67.0
Лебедев Дмитрий Денисович,М,2022,заочная,Физика,"Пермь, ул. Советская, д. 26, кв. 186",+375569271741,78.8,,,,80.4,,84.2,72.4,79.00000000000001,80.8
Морозова Мария Никитична,Ж,2022,очная,Химия,"Екатеринбург, ул. Строителей, д. 99, кв. 49",+375615928224,76.7,,,59.6,57.9,,71.6,,63.03333333333333,69.6
Сидоров Роман Петрович,М,2022,очная,Физика,"Екатеринбург, ул. Строителей, д. 169, кв. 64",+375676849254,81.9,,,61.7,55.1,,,52.0,56.26666666666667,64.8
Кузьмина Екатерина Никитична,Ж,2022,очная,Химия,"Самара, ул. Мира, д. 143, кв. 192",+375316437882,76.6,61.4,,,,64.0,77.7,,67.7,71.3
Новиков Никита Михайлович,М,2022,очная,Прикладная математика,"Пермь, ул. Новая, д. 192, кв. 28",+375244910720,75.5,71.2,,,53.1,,75.7,,66.66666666666667,71.3
Медведева Наталья Владимировна,Ж,2022,очная,Информатика и вычислительная техника,"Самара, ул. Школьная, д. 173, кв. 118",+375015523116,83.9,,70.7,,64.5,50.7,,,61.96666666666666,71.0
Петров Дмитрий Сергеевич,М,2022,очная,Физика,"Воронеж, ул. Советская, д. 43, кв. 47",+375060527517,75.2,,73.6,59.5,83.4,,,,72.16666666666667,73.1
Лебедев Никита Сергеевич,М,2022,очная,Физика,"Пермь, ул. Новая, д. 130, кв. 87",+375477517557,78.1,,,55.8,,,55.7,71.1,60.86666666666667,65.9
Соловьёва Елена Денисовна,Ж,2022,очная,Химия,"Новосибирск, ул. Строителей, д. 154, кв. 114",+375018766415,83.1,,,,74.0,83.1,65.2,,74.10000000000001,75.8
Соколов Никита Петрович,М,2022,очно-заочная,Экономика,"Нижний Новгород, ул. Школьная, д. 141, кв. 84",+375923911779,71.6,,,68.5,,,48.3,67.9,61.56666666666666,65.0
Соколов Егор Никитич,М,2022,очная,Прикладная математика,"Нижний Новгород, ул. Новая, д. 196, кв. 163",+375547334001,71.0,79.1,,,60.8,,53.3,,64.39999999999999,67.6
Соловьёва Ирина Алексеевна,Ж,2022,очная,Прикладная математика,"Воронеж, ул. Школьная, д. 156, кв. 62",+375769841676,85.8,,56.7,,68.7,,56.4,,60.6,71.3
Морозова Наталья Петровна,Ж,2022,очно-заочная,Медицинская биохимия,"Самара, ул. Строителей, д. 55, кв. 97",+375641539186,74.1,71.2,72.5,,66.5,,,,70.06666666666666,72.9
Морозова Мария Владимировна,Ж,2022,очная,Экономика,"Пермь, ул. Центральная, д. 93, кв. 116",+375542993272,81.9,75.0,,66.3,,,,60.7,67.33333333333333,71.2
Соловьёва Мария Алексеевна,Ж,2022,очная,Химия,"Краснодар, ул. Новая, д. 1, кв. 186",+375666619298,67.0,,67.5,,,,59.4,73.8,66.89999999999999,67.8
Иванов Андрей Никитич,М,2022,заочная,Прикладная математика,"Москва, ул. Центральная, д. 153, кв. 5",+375218983826,62.7,,,63.0,66.1,46.5,,,58.53333333333333,59.1
Соколов Дмитрий Никитич,М,2022,очная,Экономика,"Пермь, ул. Мира, д. 78, кв. 2",+375679322409,79.9,,63.0,54.0,,,75.9,,64.3,70.5
Иванов Никита Михайлович,М,2022,очно-заочная,История,"Казань, ул. Победы, д. 55, кв. 81",+375252481155,76.9,,73.8,,,78.3,62.0,,71.36666666666666,74.0
Кузьмина Виктория Никитична,Ж,2022,заочная,Экономика,"Москва, ул. Центральная, д. 142, кв. 131",+375718109167,79.9,52.8,51.2,,,,87.6,,63.86666666666667,68.6
Баранова Мария Сергеевна,Ж,2022,очная,Биология,"Пермь, ул. Пролетарская, д. 147, кв. 40",+375450572030,88.9,53.3,,,44.0,,,62.7,53.333333333333336,64.7
