ФИО,Пол,Год поступления,Форма обучения,Специальность,Адрес регистрации,Телефон,Средний балл аттестата,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,CE_mean,Общий балл при поступлении,Поступил
Денисов Осип Вацлавович,М,2022,очная,Экономика,"ст. Серпухов, ул. бул. Казанский, д. 8/1, кв. 131",86862110225,71.6,77.9,,,,72.0,,67.6,72.5,72.7,True
Котов Герман Фотиевич,М,2022,заочная,Физика,"ст. Пышма, ул. бул. Красина, д. 7, кв. 244",80305690674,76.2,,74.5,72.7,,56.8,,,68.0,69.2,False
Осипова Зоя Терентиевна,Ж,2022,очно-заочная,Биология,"ст. Гудермес, ул. наб. Магистральная, д. 7/9, кв. 114",+77163928234,70.2,,,66.6,,58.1,70.4,,65.03333333333333,68.5,False
Воронцова Наталья Михеевна,Ж,2022,очно-заочная,Медицинская биохимия,"ст. Юрюзань, ул. наб. Советской Армии, д. 2/3, кв. 149",+74363718923,87.5,,,,66.1,49.0,,75.9,63.666666666666664,73.8,True
Егоров Юлий Никонович,М,2022,очно-заочная,Экономика,"клх Каргополь, ул. наб. Пионерская, д. 961, кв. 78",82312604326,69.1,,56.7,,53.5,,,80.7,63.63333333333333,63.9,True
Тихонова Евфросиния Устиновна,Ж,2022,очная,Медицинская биохимия,"к. Домбай, ул. алл. Белорусская, д. 5, кв. 208",+79310668433,75.1,,55.9,,,77.4,,52.5,61.93333333333334,66.7,False
Трофимова Тамара Денисовна,Ж,2022,заочная,Экономика,"к. Белорецк, ул. наб. Маркса Карла, д. 9/3, кв. 243",86708604145,78.5,,,61.7,71.0,69.3,,,67.33333333333333,70.5,True
Шилов Моисей Федорович,М,2022,очно-заочная,Медицинская биохимия,"п. Верхнее Пенжино, ул. наб. Седова, д. 6, кв. 42",+75635020005,86.3,,,61.8,,61.1,,58.6,60.5,69.1,False
Максимова Ольга Леоновна,Ж,2022,заочная,Экономика,"к. Цимлянск, ул. ш. Коллективное, д. 564, кв. 165",+74749162475,69.1,56.7,,72.6,,,,56.5,61.93333333333334,63.2,False
Коновалов Флорентин Никонович,М,2022,очно-заочная,Экономика,"ст. Горячинск, ул. ул. 8-е Марта, д. 98, кв. 21",84110825559,84.7,,41.3,,,65.0,50.0,,52.1,63.8,True
Красильников Всеслав Викторинович,М,2022,очно-заочная,Физика,"с. Красная Поляна, ул. ул. Карла Либкнехта, д. 44, кв. 87",89534396112,77.8,,,64.6,71.2,,91.7,,75.83333333333333,78.4,True
Третьякова Елизавета Гостомысловна,Ж,2022,заочная,Прикладная математика,"д. Тверь, ул. ш. Республиканское, д. 588, кв. 151",81093371189,71.8,69.5,,65.9,,,65.1,,66.83333333333333,68.6,True
Соболев Варлаам Симонович,М,2022,очная,Информатика и вычислительная техника,"д. Апрелевка, ул. пр. Черемушки, д. 1, кв. 89",84738202368,80.5,69.9,,,75.7,,,48.1,64.56666666666668,68.5,True
Устинов Олег Мартьянович,М,2022,очная,Биология,"ст. Вологда, ул. ул. Саратовская, д. 525, кв. 51",+78557161768,78.9,,75.4,,72.6,,72.6,,73.53333333333333,75.9,True
Горбачев Ульян Антонинович,М,2022,заочная,Химия,"г. Кажим, ул. алл. Красноармейская, д. 560, кв. 157",80294240903,74.1,71.5,70.0,,64.1,,,,68.53333333333333,69.8,True
Колесникова Галина Аверкиевна,Ж,2022,заочная,Информатика и вычислительная техника,"г. Колпашево, ул. пр. Морской, д. 186, кв. 15",87881278686,78.1,,,,67.1,57.9,63.2,,62.73333333333333,69.5,True
Бирюкова Анна Галактионовна,Ж,2022,очно-заочная,Химия,"п. Бирск, ул. бул. Проезжий, д. 997, кв. 212",89432029390,75.4,,76.5,51.8,54.5,,,,60.93333333333334,65.7,False
Гущин Савва Эмилевич,М,2022,очно-заочная,Биология,"г. Верхний Уфалей, ул. ш. Томское, д. 503, кв. 236",87884434481,78.4,,,,66.9,,64.5,67.7,66.36666666666667,69.3,False
Беляева Нина Арсениевна,Ж,2022,заочная,Химия,"ст. Гдов, ул. алл. Загородная, д. 2/8, кв. 196",+73083402424,81.7,70.5,83.0,,,,,65.8,73.10000000000001,74.9,True
Поляков Каллистрат Моисеевич,М,2022,заочная,Физика,"г. Воронеж, ул. бул. Коминтерна, д. 15, кв. 185",+73381059551,87.2,,,47.3,,54.4,,65.7,55.79999999999999,67.9,False
Кошелева Анжелика Андреевна,Ж,2022,заочная,Экономика,"г. Черемхово, ул. бул. Балтийский, д. 9/6, кв. 223",84269450053,70.3,,66.5,,,,50.7,76.5,64.56666666666666,65.6,True
Тетерина Мария Олеговна,Ж,2022,очная,Экономика,"г. Яр-Сале, ул. ул. Магистральная, д. 67, кв. 58",+72408916498,90.5,68.1,60.4,,,,56.1,,61.53333333333333,72.7,True
Лапина Эмилия Спиридоновна,Ж,2022,очная,Прикладная математика,"д. Заводоуковск, ул. бул. Виноградный, д. 972, кв. 136",+77354396273,66.0,63.2,,60.7,,63.3,,,62.4,62.5,False
Кулаков Конон Эдуардович,М,2022,очная,Прикладная математика,"д. Агинское (Забайк.), ул. пр. Болотный, д. 1/4, кв. 120",85271727223,76.8,57.1,71.4,,73.3,,,,67.26666666666667,69.9,True
Блохин Арефий Демидович,М,2022,заочная,Химия,"с. Воскресенск, ул. пр. Береговой, д. 397, кв. 34",87240422693,81.2,,79.9,,,71.4,66.4,,72.56666666666668,75.5,True
Быкова Полина Автономовна,Ж,2022,заочная,История,"клх Шамары, ул. ш. Серова, д. 8, кв. 126",+72163761820,79.4,,57.3,54.3,,75.8,,,62.46666666666666,70.2,True
Якушева Евпраксия Спартаковна,Ж,2022,очно-заочная,Информатика и вычислительная техника,"д. Камень-на-Оби, ул. пр. Титова, д. 80, кв. 225",81660100231,74.0,,69.5,,,58.6,50.7,,59.6,66.4,True
Григорьев Конон Ананиевич,М,2022,очная,Экономика,"д. Воскресенск, ул. ул. Саратовская, д. 9, кв. 4",+72900185132,76.5,,58.0,,66.7,75.0,,,66.56666666666666,68.9,True
Панфилов Эммануил Софронович,М,2022,очная,Биология,"ст. Нижний Тагил, ул. пр. Громова, д. 502, кв. 172",89724572308,74.7,86.6,59.9,,,,,61.8,69.43333333333334,70.7,False
Горбачева Елизавета Давыдовна,Ж,2022,очная,Медицинская биохимия,"п. Двинской, ул. алл. Геологов, д. 22, кв. 101",+78100184186,74.2,45.8,,,70.5,81.2,,,65.83333333333333,67.4,False
Денисов Анатолий Изяславович,М,2022,очная,Прикладная математика,"ст. Оренбург, ул. пер. Кошевого, д. 8, кв. 67",+70303662543,82.8,58.5,60.1,,,64.2,,,60.93333333333334,68.6,True
Турова Агата Глебовна,Ж,2022,заочная,Биология,"клх Солнечногорск, ул. ул. 30 лет Победы, д. 6/2, кв. 112",81721314519,79.8,,57.8,,46.4,,81.3,,61.833333333333336,68.0,False
Егоров Боян Нифонтович,М,2022,очно-заочная,Химия,"п. Чебоксары, ул. ш. Радищева, д. 61, кв. 15",81510922685,73.5,,81.6,,61.3,,46.8,,63.23333333333333,68.4,True
Агафонова Людмила Николаевна,Ж,2022,очно-заочная,Информатика и вычислительная техника,"ст. Плесецк, ул. наб. Безымянная, д. 2/1, кв. 123",82624945147,83.1,,,58.7,,49.9,,71.3,59.96666666666666,69.8,True
Сафонова Милица Евстигнеевна,Ж,2022,очно-заочная,Экономика,"п. Камень-на-Оби, ул. наб. Шоссейная, д. 3, кв. 73",84102252677,79.5,,82.2,68.4,,,54.3,,68.30000000000001,71.8,True
Попов Спартак Архипович,М,2022,заочная,Химия,"клх Гаврилов-Ям, ул. пер. Минский, д. 94, кв. 219",+71964215226,82.6,63.4,68.6,,56.7,,,,62.9,69.8,True
Хохлов Будимир Кондратиевич,М,2022,очная,История,"д. Бологое, ул. алл. Железнодорожная, д. 741, кв. 154",85767695236,81.5,62.1,,,,70.1,,58.8,63.666666666666664,71.5,True
Фомичев Федот Фортунатович,М,2022,заочная,Прикладная математика,"ст. Амдерма, ул. наб. Курганная, д. 621, кв. 234",88788788361,72.7,60.5,,,87.5,76.5,,,74.83333333333333,75.3,True
Коновалов Милен Кириллович,М,2022,очная,Экономика,"с. Сортавала, ул. бул. Радищева, д. 5/7, кв. 183",86893135030,74.3,,52.7,53.1,,69.9,,,58.56666666666667,62.1,False
Кошелев Зиновий Евлампиевич,М,2022,заочная,Прикладная математика,"п. Эльтон, ул. ш. Ворошилова, д. 94, кв. 24",88721055247,82.2,56.9,,70.5,81.2,,,,69.53333333333335,73.2,True
Тетерина Оксана Олимпиевна,Ж,2022,очно-заочная,Биология,"г. Мурманск, ул. ул. Стадионная, д. 8, кв. 108",+78633302126,81.4,,74.6,,65.6,,52.0,,64.06666666666666,69.8,False
Иванов Фирс Казимирович,М,2022,очно-заочная,Биология,"ст. Ельня, ул. пр. З.Космодемьянской, д. 2/6, кв. 121",+76501917920,77.6,,,,71.2,63.0,,60.9,65.03333333333333,68.4,False
Исакова Дарья Сильвестровна,Ж,2022,очно-заочная,История,"д. Нарьян-Мар, ул. наб. Заозерная, д. 28, кв. 232",+75213109622,78.4,,61.5,,65.0,,,65.7,64.06666666666666,67.9,True
Шилов Вацлав Афанасиевич,М,2022,очно-заочная,Медицинская биохимия,"с. Мытищи, ул. ш. Гражданское, д. 63, кв. 196",82847657041,85.4,64.2,62.5,87.3,,,,,71.33333333333333,74.4,True
Анисимов Сила Матвеевич,М,2022,очная,Физика,"д. Внуково (метеост.), ул. наб. Коммунаров, д. 3, кв. 97",+70092820667,74.2,,,66.7,,61.4,73.2,,67.10000000000001,70.2,True
Брагина Валерия Соломоновна,Ж,2022,заочная,Физика,"ст. Шатки, ул. пр. Приморский, д. 16, кв. 40",84984362418,81.0,78.1,,59.5,,,,75.8,71.13333333333333,73.6,True
Шашкова Зоя Тимофеевна,Ж,2022,очная,Биология,"ст. Лянтор, ул. пр. Павлова, д. 7, кв. 198",82369036289,76.5,70.5,,,,,59.3,48.2,59.333333333333336,63.6,False
Максимов Фирс Провович,М,2022,заочная,Биология,"с. Диксон, ул. ул. Фурманова, д. 171, кв. 118",+77756620563,76.4,55.6,,74.9,,,,41.6,57.36666666666667,63.0,False
Воронцова Марина Святополковна,Ж,2022,очно-заочная,Информатика и вычислительная техника,"г. Тарко-Сале, ул. пр. Красногвардейский, д. 7, кв. 207",+71115950342,84.3,69.7,,,,52.8,,76.5,66.33333333333333,73.8,True
Симонов Илья Мартьянович,М,2022,очно-заочная,История,"ст. Ставрополь, ул. пер. Угловой, д. 1/4, кв. 26",81139043830,82.7,,,59.1,,65.0,,63.7,62.6,71.0,True
Федосеев Ратмир Родионович,М,2022,очно-заочная,Химия,"к. Меренга, ул. алл. Юбилейная, д. 57, кв. 211",+74199097005,82.6,,70.2,68.8,,,,68.9,69.3,73.9,True
Самойлов Фрол Алексеевич,М,2022,заочная,Физика,"ст. Малоярославец, ул. пер. Механизаторов, д. 3/7, кв. 13",+74054683565,85.5,,87.3,,51.3,,,79.1,72.56666666666666,76.8,True
Андреева Ольга Исидоровна,Ж,2022,очно-заочная,История,"д. Змеиногорск, ул. наб. Большевистская, д. 9/7, кв. 38",+71568182096,77.8,47.6,61.7,,,,60.1,,56.46666666666667,65.8,True
Щербакова Ангелина Ефимовна,Ж,2022,очная,Химия,"п. Усть-Катав, ул. пер. Чкалова, д. 776, кв. 65",89042271133,81.8,67.3,77.3,,65.5,,,,70.03333333333333,73.0,True
Лаврентьев Иван Лукович,М,2022,очная,Химия,"г. Светлогорск (Калин.), ул. бул. Репина, д. 82, кв. 243",+72889857254,75.8,84.4,67.4,,54.7,,,,68.83333333333333,70.1,True
Пестов Остромир Милованович,М,2022,очная,Химия,"ст. Каргасок, ул. наб. Снежная, д. 8/7, кв. 178",89606339912,79.6,,50.6,68.5,,,,71.0,63.36666666666667,68.2,True
Беляков Софрон Авксентиевич,М,2022,заочная,Прикладная математика,"к. Шелехов, ул. алл. Красноярская, д. 9/8, кв. 156",87102481717,76.9,60.7,40.0,,,68.2,,,56.300000000000004,62.2,False
Крылов Каллистрат Константинович,М,2022,очная,Физика,"с. Артем, ул. ш. Механическое, д. 4/3, кв. 15",82421495511,78.3,69.4,70.6,,,,,80.1,73.36666666666666,74.6,True
Власова Анна Мефодиевна,Ж,2022,очно-заочная,Медицинская биохимия,"ст. Обнинск, ул. ш. Белорусское, д. 1, кв. 89",+77474721970,81.3,,73.8,67.4,,,58.2,,66.46666666666665,73.3,True
Жданов Афиноген Денисович,М,2022,заочная,Информатика и вычислительная техника,"клх Туапсе, ул. ш. Безымянное, д. 4/7, кв. 191",84669275895,72.8,,,60.1,,,71.5,42.0,57.86666666666667,63.6,True
Веселов Савелий Минович,М,2022,очно-заочная,Химия,"к. Шамары, ул. ш. Химиков, д. 5/1, кв. 81",81687409038,90.3,,67.8,55.3,65.2,,,,62.76666666666667,72.1,True
Рожкова Екатерина Филипповна,Ж,2022,заочная,Физика,"клх Москва, МГУ, ул. пр. Курчатова, д. 878, кв. 128",+72146296136,71.7,,68.9,,,51.6,,61.0,60.5,66.2,False
Королева Ираида Евграфовна,Ж,2022,очная,Физика,"к. Красноселькуп, ул. алл. Спартака, д. 490, кв. 213",81577871121,70.4,52.7,,,67.7,57.5,,,59.300000000000004,61.4,False
Зиновьев Сигизмунд Евстигнеевич,М,2022,очно-заочная,Биология,"п. Иркутск, ул. пр. Союзный, д. 3/8, кв. 187",86365155973,84.6,43.2,69.2,,,69.1,,,60.5,67.8,False
Зиновьева Жанна Иларионовна,Ж,2022,очно-заочная,Физика,"п. Билибино, ул. бул. Смоленский, д. 82, кв. 27",81470827235,82.4,54.2,,,,72.8,,61.6,62.86666666666667,70.0,True
Ершов Капитон Иванович,М,2022,заочная,История,"ст. Бугуруслан, ул. ш. Металлистов, д. 8, кв. 110",80960567303,81.4,,,,71.6,,76.8,61.6,69.99999999999999,74.5,True
Щукин Егор Ипатович,М,2022,очно-заочная,Биология,"с. Воткинск, ул. пр. Тракторный, д. 942, кв. 96",+76442121461,81.5,60.9,61.2,,75.3,,,,65.8,69.5,False
Ефимова Юлия Германовна,Ж,2022,очная,Медицинская биохимия,"к. Курильск, ул. ш. 50 лет ВЛКСМ, д. 60, кв. 45",+77683420165,77.6,,,,70.3,65.2,,81.0,72.16666666666667,73.7,True
Ковалев Вацлав Богданович,М,2022,заочная,Экономика,"ст. Рославль, ул. пер. Октябрьский, д. 39, кв. 48",+72356778265,72.3,,,,55.5,60.7,,65.1,60.43333333333334,65.2,True
Горбачева Полина Аверьяновна,Ж,2022,очно-заочная,Физика,"п. Псебай, ул. пер. Луговой, д. 742, кв. 69",86089319925,78.2,,,75.5,,,67.4,77.9,73.60000000000001,76.0,True
Кондратьев Тит Андроникович,М,2022,заочная,Химия,"ст. Буйнакск, ул. ул. Челюскинцев, д. 817, кв. 227",80272751648,73.6,53.0,71.0,,,,56.4,,60.13333333333333,65.4,False
Давыдов Светозар Якубович,М,2022,очно-заочная,Медицинская биохимия,"п. Валдай, ул. пр. Каштановый, д. 1/6, кв. 176",+77279103368,83.6,71.8,,83.0,,,,61.1,71.96666666666667,75.3,True
Горшкова Лариса Фирсовна,Ж,2022,очная,Медицинская биохимия,"г. Люберцы, ул. пер. Выгонный, д. 72, кв. 214",+79635339055,76.8,,,94.6,,,58.9,67.5,73.66666666666667,73.1,True
Емельянова Ирина Добромысловна,Ж,2022,очная,Экономика,"п. Краснокамск, ул. наб. Достоевского, д. 81, кв. 41",+74481776655,72.7,73.3,,,62.9,,,72.9,69.7,70.5,True
Матвеева Раиса Никоновна,Ж,2022,очная,Прикладная математика,"ст. Сасово, ул. пр. Тульский, д. 183, кв. 190",86851276528,75.8,83.9,,,67.8,,64.7,,72.13333333333333,71.9,True
Ситников Ефрем Флорентинович,М,2022,очная,Прикладная математика,"ст. Мураши, ул. наб. Транспортная, д. 95, кв. 84",82866464911,80.2,,,74.0,69.1,66.2,,,69.76666666666667,75.2,True
Зайцев Владимир Степанович,М,2022,очно-заочная,Медицинская биохимия,"клх Шелехов, ул. алл. Хвойная, д. 37, кв. 195",+71096179817,74.3,59.0,,,,56.2,,54.6,56.6,62.7,False
Архипов Панфил Тимурович,М,2022,очная,Химия,"п. Ульяновск, ул. ш. Базарное, д. 29, кв. 211",89046337861,72.8,,,66.0,,,72.8,69.4,69.4,69.9,True
Овчинников Амос Миланович,М,2022,заочная,История,"п. Нижневартовск, ул. бул. Коммунистический, д. 7, кв. 16",+77157660538,79.2,60.9,,,,79.5,75.2,,71.86666666666667,75.5,True
Самойлова Марфа Демидовна,Ж,2022,очно-заочная,Экономика,"ст. Руза, ул. бул. Маркса Карла, д. 7/6, кв. 211",+74446306000,79.2,67.9,,48.6,,,64.2,,60.23333333333333,66.9,True
Турова Оксана Виссарионовна,Ж,2022,очная,Экономика,"с. Завьялиха, ул. пер. Свободы, д. 4, кв. 151",+75895529638,74.7,,,60.5,69.3,,,59.1,62.96666666666667,66.3,True
Рыбакова Регина Луковна,Ж,2022,заочная,История,"к. Юрюзань, ул. бул. Королева, д. 970, кв. 220",83960962626,74.9,,50.9,,68.6,56.2,,,58.56666666666666,65.5,True
Попов Авксентий Епифанович,М,2022,очно-заочная,Информатика и вычислительная техника,"к. Агата, ул. пр. Мая 1, д. 7, кв. 217",88263128196,79.1,,63.2,,,,66.9,73.2,67.76666666666667,73.2,True
Савина Марина Варлаамовна,Ж,2022,заочная,Прикладная математика,"п. Балашов, ул. пер. Комсомольский, д. 192, кв. 43",+78253110609,69.0,53.4,,,,61.3,,73.9,62.86666666666667,65.7,False
Денисова Лидия Юлиевна,Ж,2022,очно-заочная,Экономика,"ст. Буйнакск, ул. наб. Горького, д. 19, кв. 72",+70981960275,69.3,59.0,69.0,71.9,,,,,66.63333333333334,65.8,True
Герасимова Иванна Трофимовна,Ж,2022,заочная,История,"д. Хоста, ул. ул. Хвойная, д. 62, кв. 246",+73343836404,73.4,45.7,,75.6,,,,55.8,59.03333333333333,64.3,True
Фролова Иванна Карповна,Ж,2022,очная,Прикладная математика,"п. Каргасок, ул. алл. Лесная, д. 63, кв. 18",+72091179112,76.4,75.9,,55.9,,56.0,,,62.6,68.5,True
Кондратьев Савва Юлиевич,М,2022,заочная,Медицинская биохимия,"п. Озеры, ул. бул. Толстого, д. 1, кв. 30",+74211753617,79.6,,,,74.3,71.6,,77.9,74.6,74.9,True
Громов Мефодий Доброславович,М,2022,заочная,Биология,"к. Листвянка (Иркут.), ул. наб. Озерная, д. 96, кв. 209",+76171366572,86.6,,,,62.7,50.4,81.3,,64.8,71.3,True
Родионова Полина Епифановна,Ж,2022,очно-заочная,Медицинская биохимия,"клх Карпинск, ул. пер. Каштановый, д. 33, кв. 76",+74029901557,82.8,60.6,48.6,,,,65.0,,58.06666666666666,68.3,False
Филатов Панкрат Мокеевич,М,2022,очно-заочная,Биология,"с. Жуковский, ул. пер. Кузнецова, д. 90, кв. 7",89802841390,76.7,68.5,46.7,58.3,,,,,57.833333333333336,62.5,False
Красильникова Майя Олеговна,Ж,2022,очная,Экономика,"д. Углич, ул. бул. Камский, д. 524, кв. 24",80882351305,77.6,,,76.7,,,45.1,53.9,58.56666666666667,66.2,True
Савельев Климент Дмитриевич,М,2022,заочная,Химия,"д. Березники, ул. пр. Орджоникидзе, д. 6/3, кв. 244",+73124473158,71.7,,77.6,,,,60.5,47.9,62.0,65.3,False
Титов Филимон Фирсович,М,2022,заочная,История,"г. Дно, ул. алл. Минина, д. 4/2, кв. 124",+77768634234,77.6,,81.8,,,,51.6,63.2,65.53333333333335,69.5,True
Авдеева Елизавета Варлаамовна,Ж,2022,заочная,Химия,"к. Чехов, ул. наб. Литейная, д. 11, кв. 99",81994237676,76.0,65.5,,,,67.2,58.6,,63.76666666666666,66.1,False
Брагина Ираида Измаиловна,Ж,2022,заочная,История,"д. Курильск, ул. бул. Студенческий, д. 67, кв. 160",84591966395,79.6,,,77.7,,82.5,62.4,,74.2,77.4,True
Горбунова Тамара Наумовна,Ж,2022,очная,Физика,"д. Дагомыс, ул. алл. Димитрова, д. 2/4, кв. 26",81720849649,72.7,,53.9,,62.6,,64.3,,60.26666666666667,64.1,False
Куликова Евпраксия Геннадиевна,Ж,2022,очно-заочная,Экономика,"к. Кирово-Чепецк, ул. бул. Юности, д. 56, кв. 122",85601256253,80.8,,66.3,52.2,,,54.4,,57.63333333333333,65.9,True
Константинов Савватий Авксентиевич,М,2022,заочная,История,"п. Тикси, ул. бул. Маркса, д. 7, кв. 27",+73552510505,86.9,52.9,,63.5,,,,64.0,60.13333333333333,70.2,True
Гаврилова Дарья Сигизмундовна,Ж,2022,очная,Информатика и вычислительная техника,"клх Ардон, ул. пер. Шмидта, д. 173, кв. 2",+77953816493,77.0,,,72.1,,,61.5,56.9,63.5,69.0,True
Рожков Всеволод Софронович,М,2022,очная,Информатика и вычислительная техника,"клх Тымовское, ул. наб. Островского, д. 14, кв. 49",83184919665,80.1,,50.9,,71.4,,,50.3,57.53333333333334,67.3,True
Молчанова Синклитикия Луковна,Ж,2022,очная,Прикладная математика,"клх Воскресенск, ул. ул. 40 лет Октября, д. 65, кв. 3",83307704611,81.8,,59.6,52.9,,,53.9,,55.46666666666667,64.8,False
Петухов Севастьян Ипатиевич,М,2022,очная,Экономика,"г. Курумкан, ул. алл. Кленовая, д. 591, кв. 61",82959639040,75.3,55.0,,58.4,,52.4,,,55.26666666666667,61.9,False
Гордеева Тамара Ферапонтовна,Ж,2022,очная,Информатика и вычислительная техника,"д. Саратов, ул. пр. Кочубея, д. 84, кв. 155",80742608805,79.0,65.8,,,,,55.6,67.4,62.93333333333334,70.4,True
Афанасьев Анисим Валерьянович,М,2022,очно-заочная,Прикладная математика,"к. Красногорск (Моск.), ул. ш. Украинское, д. 91, кв. 140",+71716445561,77.8,62.5,63.4,57.6,,,,,61.166666666666664,67.6,False
Семенов Гремислав Ермолаевич,М,2022,очная,Физика,"клх Красноселькуп, ул. бул. Космонавтов, д. 192, кв. 78",85790647715,78.3,,,81.6,,,53.7,83.7,73.0,74.0,True
Мухина Зоя Валериевна,Ж,2022,очно-заочная,Экономика,"с. Байкальск, ул. пр. 8-е Марта, д. 4/4, кв. 226",81030021563,73.1,,,,51.5,77.5,73.6,,67.53333333333333,68.0,True
Кононова Нонна Марковна,Ж,2022,заочная,Экономика,"ст. Зеленоград, ул. пер. Парижской Коммуны, д. 2, кв. 92",+71358004010,77.8,,77.0,,54.8,,,73.5,68.43333333333334,73.1,True
Денисов Казимир Мирославович,М,2022,заочная,Информатика и вычислительная техника,"п. Невинномысск, ул. пр. Малиновый, д. 5/1, кв. 227",+71459642297,80.7,,,,52.6,70.7,70.8,,64.7,69.7,True
Наумова Тамара Исаевна,Ж,2022,очно-заочная,Медицинская биохимия,"клх Теберда, ул. ш. Гайдара, д. 38, кв. 250",+72529671883,86.4,,69.1,,,68.7,,70.5,69.43333333333334,76.0,True
Лебедева Любовь Остаповна,Ж,2022,очно-заочная,Биология,"клх Сальск, ул. бул. Дружба, д. 36, кв. 5",87745731441,83.5,78.4,80.9,,54.3,,,,71.2,75.4,True
Шестаков Виталий Эрнстович,М,2022,заочная,Физика,"с. Старая Русса, ул. алл. Радужная, д. 5, кв. 237",88331170303,90.6,65.4,,50.6,65.2,,,,60.4,69.8,False
Игнатьева Евпраксия Фирсовна,Ж,2022,очная,Химия,"ст. Морозовск, ул. бул. Королева, д. 396, кв. 143",86371539885,73.1,67.2,,,,64.9,,74.5,68.86666666666667,70.8,True
Захарова Синклитикия Кондратиевна,Ж,2022,заочная,Физика,"п. Ишим, ул. ш. Котовского, д. 318, кв. 91",+77281235679,82.9,58.0,73.4,72.2,,,,,67.86666666666667,71.4,True
Большакова Людмила Сократовна,Ж,2022,очная,Химия,"п. Малгобек, ул. пр. Коллективный, д. 4/5, кв. 226",83631462491,78.8,,,52.4,,62.7,57.8,,57.633333333333326,64.7,False
Носова Пелагея Прокофиевна,Ж,2022,очная,Прикладная математика,"клх Александровск-Сахалинский, ул. ул. Краснодарская, д. 53, кв. 23",+77113072407,90.8,70.5,,,,62.2,61.5,,64.73333333333333,74.0,True
Щербакова Анжелика Юриевна,Ж,2022,очно-заочная,История,"д. Хужир, ул. алл. Заречная, д. 796, кв. 44",87541815632,72.9,61.5,,,69.2,43.7,,,58.133333333333326,63.0,True
Суворова Ия Галактионовна,Ж,2022,очно-заочная,Химия,"г. Данков, ул. пр. Маркса, д. 145, кв. 247",88685074510,72.7,75.5,,50.8,84.5,,,,70.26666666666667,72.1,True
Кабанов Гурий Мартынович,М,2022,заочная,Прикладная математика,"с. Калязин, ул. алл. Ленинградская, д. 5/1, кв. 5",86343629489,74.1,,58.2,,,,69.4,69.8,65.8,70.0,True
Евдокимов Пантелеймон Юлиевич,М,2022,заочная,История,"д. Бугуруслан, ул. ул. Промышленная, д. 63, кв. 196",88610313100,65.0,,62.8,52.5,,70.2,,,61.833333333333336,64.0,True
Маслова Ульяна Аскольдовна,Ж,2022,очно-заочная,Физика,"д. Южноуральск, ул. алл. Элеваторная, д. 84, кв. 24",84318143966,74.5,,,51.9,,,53.1,57.4,54.13333333333333,59.4,False
Сорокина Анжелика Мефодиевна,Ж,2022,заочная,Информатика и вычислительная техника,"д. Кизел, ул. пр. Садовый, д. 960, кв. 37",81347323549,73.1,,,72.9,,,65.6,55.1,64.53333333333333,66.3,True
Веселов Зосима Лукьянович,М,2022,очно-заочная,Медицинская биохимия,"с. Ачинск, ул. наб. Ушакова, д. 7, кв. 29",+70128974325,78.6,64.6,58.1,,,79.2,,,67.3,71.4,False
Рогова Кира Карловна,Ж,2022,очно-заочная,Химия,"ст. Белоярский, ул. пр. Спартака, д. 56, кв. 56",+72257207650,79.8,,,72.0,,,65.4,64.6,67.33333333333333,73.4,True
Юдина Элеонора Николаевна,Ж,2022,заочная,Биология,"г. Амдерма, ул. пер. 40 лет Победы, д. 37, кв. 52",+74120957907,89.0,,,,71.1,69.8,52.0,,64.3,74.3,True
Белозеров Касьян Проклович,М,2022,очная,Медицинская биохимия,"с. Верхотурье, ул. пр. Шмидта, д. 23, кв. 53",+77100943882,83.4,,,74.9,68.8,,55.8,,66.5,73.8,True
Дементьева Майя Фроловна,Ж,2022,очная,Прикладная математика,"ст. Приморско-Ахтарск, ул. ул. Первомайская, д. 5, кв. 183",+71145775847,74.2,60.4,,,,65.9,,66.4,64.23333333333333,66.9,False
Меркушева Регина Радимовна,Ж,2022,очно-заочная,Прикладная математика,"с. Малая Вишера, ул. алл. Крымская, д. 565, кв. 231",+75705458971,72.3,72.3,54.2,,,,84.5,,70.33333333333333,70.7,True
Сергеев Остромир Доброславович,М,2022,заочная,Информатика и вычислительная техника,"г. Каменск-Шахтинский, ул. пр. Водопроводный, д. 8/7, кв. 134",+78026325703,80.7,,,,62.6,74.2,,49.0,61.93333333333334,68.4,True
Гусева Акулина Измаиловна,Ж,2022,очная,Биология,"с. Радужный, ул. ш. Речное, д. 4/5, кв. 155",86531361487,69.8,,53.2,,,77.8,,58.9,63.300000000000004,64.2,False
Субботина Зоя Богдановна,Ж,2022,очно-заочная,Экономика,"п. Юрюзань, ул. ул. Литейная, д. 2/8, кв. 84",82455696443,88.7,71.4,,84.8,,,61.8,,72.66666666666667,76.4,True
Сергеева Евфросиния Никоновна,Ж,2022,очно-заочная,Прикладная математика,"г. Тихорецк, ул. пер. Гончарова, д. 417, кв. 45",+79859167954,84.8,,,60.5,54.4,,,80.1,65.0,73.7,True
Белова Валентина Арсениевна,Ж,2022,заочная,Физика,"клх Ишим, ул. ул. Радужная, д. 9, кв. 57",+70727284982,74.9,,64.8,,68.3,,,67.7,66.93333333333334,68.7,False
